genes	DAL_1	DAL_2	DAL_3	DAL_4	DAL_5	DAL_6	DAL_7	DAL_8	DAL_9	DAL_10	V2_1	V2_2	V2_3	V2_4	V2_5	V2_6	V2_7	V2_8	V2_9	V2_10	AB_KCs_1	AB_KCs_2	AB_KCs_3	AB_KCs_4	AB_KCs_5	AB_KCs_6	AB_KCs_7	AB_KCs_8	AB_KCs_9	AB_KCs_10	G_KCs_1	G_KCs_2	G_KCs_3	G_KCs_4	G_KCs_5	G_KCs_6	G_KCs_7	G_KCs_8	G_KCs_9	G_KCs_10	G_KCs_11	G_KCs_12	V3_1	V3_2	V3_3	V3_4	V3_5	V3_6	V3_7	V3_8	V3_9	V3_10	R27_1	R27_2	R27_3	R27_4	R27_5	R27_6	R27_7	R27_8	G386_1	G386_2	G386_3	G386_4	G386_5	G386_6	G386_7	G386_8	G386_9
14-3-3zeta	14.21279948	14.26048754	14.5145154	14.83451842	14.64558885	14.31448939	15.02555495	14.43569345	14.54500718	14.73834824	14.76286944	15.02240271	14.99818057	14.58275234	14.88221863	14.81852741	15.41097113	14.98456776	15.4423231	14.59999733	16.198555	16.08289283	15.98034379	15.54860101	15.92338861	15.49696471	15.95284847	15.47726147	15.72319583	16.211890099999998	16.10942459	15.50909501	15.43117229	15.89410454	15.89469455	16.279107500000002	15.76847891	15.65634291	15.67767004	15.68900502	16.11864319	15.72439427	14.27425728	14.61383635	14.61573437	14.67086792	14.20145288	14.58107004	14.31155916	14.81997925	14.39532669	14.28809327	14.01163547	14.02004687	14.26116368	14.50673013	14.3262506	14.64070247	14.16113929	14.28663796	14.35474336	14.38401863	14.66060797	14.17892671	13.84665462	14.75688694	14.22447499	14.59167682	14.04876557
2mit	9.262947886000001	10.44856979	9.739786532	10.99232999	10.62535923	10.41097882	11.14448593	10.07805451	10.34188546	10.5618956	10.70001387	10.88550973	11.01224031	11.13321931	10.67120242	10.79215005	11.25179757	11.83647295	10.90933212	10.89762481	12.61983332	12.58982142	12.46419802	12.08739596	12.6418951	13.2843608	12.90464323	11.827769900000002	12.03953044	12.49638955	12.10302892	11.59337267	11.95980101	11.89300362	12.20519342	12.14707427	11.82276226	11.86277587	11.63207773	11.89053075	11.92969209	11.79235673	11.08427841	11.46172915	11.22706255	8.029345709	10.25842119	11.00026598	11.18788641	10.67137755	10.21755437	10.78826355	10.82872921	11.03964871	10.18859079	10.98682061	10.92850462	11.24862616	10.3515826	11.20354336	10.55138289	10.26507034	10.11595916	10.67305744	10.42251027	10.09625933	10.21515674	11.03947852	10.03835564
5-HT1A	7.083970015	6.178956394	8.598663752	8.999476588	6.751246525	8.531063944	8.959349049	8.052809383	7.805503314	8.376943127999999	8.914914533	9.052791621	8.505493297000001	8.926025705	7.709672668	9.297428612000001	9.607276972000001	9.370006452	8.657967565	8.891421028	10.53872075	10.81005736	10.29136465	9.8184436	10.34717846	10.44367795	10.52803273	10.256445800000002	9.923849496	10.64279037	9.934604907	9.190995795	9.517403196	9.764558006	10.21301987	10.27870857	9.546863453	9.83829939	9.435557483	9.734852539	9.924780675	9.831404773	7.57462558	8.864112929	7.872072118999999	7.228260397000001	8.553423002999999	8.814596614	9.706682919	6.977421027999999	9.213542129	8.74889755	10.42031904	9.658410616	9.985296624	10.27058847	9.979398623	11.24922888	8.41046996	9.988426736000001	10.22066728	9.248527424	10.25256027	10.15729214	10.91804973	10.07235739	8.538727571	10.38062954	7.471207572999999
Abl	7.130445396	8.389671242999999	7.452563731000001	7.7706382210000005	6.8182127679999995	6.793309955	7.456178736	7.970737341	7.28604182	8.484228621	6.687162616	8.080409204	8.542088031	8.541420867000001	7.608932237	8.486594527000001	8.98864612	8.788142756000001	8.665743359	8.174111943	9.21088498	9.588790508999999	8.691066253999999	8.271018869	8.612456401000001	9.122548947	9.360088914	8.553709097999999	8.904977921	8.405464272	9.155781817000001	8.78139504	9.42561835	8.757293372000001	8.854940734	8.710345555	8.953969812	9.427882825	8.908251859	8.892094748	9.035591196	8.412535743	6.827334836	8.886682683	7.781661463	6.047213439	7.672449297999999	7.785357902	7.638349217000001	7.82706753	7.351728854	7.82799474	7.990025834	7.241901284	5.688743828	8.418953758999999	5.237453639	5.1392205660000005	5.255088265	7.120568556	4.941309705	5.441138006	7.617467508	8.501828698999999	7.583314871000001	4.946457799	4.845334693	7.674819353999999	5.226706246
Adf1	9.373476645	7.96614314	7.359538832	8.510149483	8.694008157	8.785663722	9.448632717999999	9.122803429	9.330527581	9.430595462000001	8.535346424	9.150828984	8.958454247999999	9.044508822000001	8.808193635	9.752631946000001	9.34904812	9.136887002	9.200981452	8.570922926	9.017092776	9.115985297	9.212139487	9.517476042	9.37410835	9.282448432	9.364772158	9.106499725	8.494318753	9.227707378	8.95775844	9.508139114	9.695452382000001	9.484227526	9.374889792000001	9.518020089	9.297450849	9.127827377000001	9.301763432000001	9.589300623	9.426638327000001	9.474411939	8.223317041	8.477781015	8.494359688	9.231556367	7.954585749	9.045063609	9.233669569	8.595848058	8.684426823999999	8.590032282000001	8.234640953	8.150660462000001	5.948498007	7.9651404910000005	7.677620698999999	5.855134399	9.814927913	8.263544289	5.862244037999999	6.384411835	5.9890575639999994	8.20643568	7.25896231	9.052937378	8.883719256000001	5.896698964	9.418155155
AdoR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGO1	11.22935622	12.05612674	11.73053914	12.11774019	11.753633099999998	11.52389804	12.40087604	11.68391069	11.40908051	11.91193703	11.81456001	12.160032199999998	12.15527193	11.88906031	12.23995523	12.03613651	12.36153357	12.05058069	12.35908499	11.6928049	13.38243908	13.19442815	13.34337165	12.69758482	13.08316131	12.58863251	13.14261316	12.75103445	12.69572362	13.33094614	13.0321908	12.38094923	12.56092604	12.84910407	13.05811154	13.26974743	12.45342246	12.90053788	12.54008803	12.76802958	12.98189851	12.48895019	11.99408911	12.32777288	11.72302375	11.45702582	11.3223837	11.83420187	11.91200475	12.09000165	11.4878109	11.54255297	11.78857071	11.16247994	11.29740579	11.64775632	11.26133696	11.62647652	11.80419781	10.92202596	11.43984211	10.98402609	11.57642955	10.90324648	10.55213238	11.11514376	11.68881898	11.02522944	11.43269422
Alk	11.22877505	12.11081327	12.19732664	11.887209599999998	11.61730041	11.32111735	12.03612282	11.42508994	11.90921937	11.49776381	12.16750317	12.23639048	12.166018199999998	12.044799300000001	11.96341595	12.12745029	11.56193035	11.63927463	12.30904211	11.52012345	12.70604816	12.56623392	12.76076269	12.12872489	12.51098689	12.00913627	12.64296756	12.151044800000001	11.98103507	12.73659217	12.63405965	11.79716681	12.16775686	12.43899825	12.515556199999999	13.01710606	11.98498695	12.41920568	12.12084334	12.42062891	12.51026756	11.92704639	11.9321745	12.38061684	12.14406769	11.94712478	11.12120491	12.15085918	11.79227138	12.04235248	12.05932715	11.98175812	11.29494829	10.61413563	11.31077125	11.71156624	11.58946812	11.82566931	10.9785247	11.47028415	11.0331825	11.16710781	12.29820641	10.56126767	11.48807153	11.67128196	10.81183195	12.18181195	8.610849593
amn	5.77418854	2.334330191	5.884744415	4.520973564	4.87115533	6.360634951000001	2.3793875819999997	2.317303356	5.934780616	2.36785879	4.964155538	5.86972596	4.681500338	5.046120606000001	5.341047733	4.753487338999999	5.993344382	6.592017612	6.703915452	5.249676673	6.55950256	6.313966194	5.3567154839999995	5.4217476829999995	5.5051272010000005	5.67689525	6.498148913	5.7910532120000004	3.2693581010000003	6.0332066189999995	5.906231702	5.75651336	7.160993271000001	5.231178215	6.387766157000001	6.1827408870000005	5.78624479	6.285564599999999	6.334255292000001	6.017359472000001	5.957631199	4.975785163	5.376768107999999	5.3235030839999995	2.596469244	2.359227733	5.953597287000001	5.58258649	2.680369958	4.841057247	2.370925818	2.334550346	6.084134525	6.147700247	2.7609250810000003	5.797721757000001	2.383032705	2.349078051	2.412732655	6.308936571	2.4152152609999997	6.528657429	2.343022765	6.298234661	2.5548773430000002	2.351570302	2.868662553	5.873647707000001	6.843103726
Ank2	11.890742900000001	11.70588684	11.8252729	11.89579835	12.18414148	11.5027509	12.43530949	11.52873094	11.96686216	12.543989100000001	12.12339203	12.23099616	12.26192192	12.19242845	12.20260668	12.02878242	12.10048351	12.16393948	12.29962825	11.74185932	12.89048915	12.84447242	12.62088506	12.56557234	12.71246633	12.30002733	12.94531376	12.49546836	12.63995948	12.96113398	12.76992791	12.46134329	12.53623851	12.57412844	12.54766084	12.94869655	12.15669397	12.90993561	12.33740266	12.51893533	12.73829186	12.330182699999998	11.7573592	12.14402302	11.7685603	11.94969747	12.1761959	12.65835646	12.11411215	12.16959075	12.45424754	12.06096279	11.94231681	11.23193027	11.67632276	11.87800377	11.53081104	11.8532379	11.21757338	11.46187995	11.90816258	11.93206787	12.35235124	12.29873294	12.2452054	12.01289582	11.42950008	12.84916185	12.61145914
