genes	DAL_1	DAL_2	DAL_3	DAL_4	DAL_5	DAL_6	DAL_7	DAL_8	DAL_9	DAL_10	V2_1	V2_2	V2_3	V2_4	V2_5	V2_6	V2_7	V2_8	V2_9	V2_10	AB_KCs_1	AB_KCs_2	AB_KCs_3	AB_KCs_4	AB_KCs_5	AB_KCs_6	AB_KCs_7	AB_KCs_8	AB_KCs_9	AB_KCs_10	G_KCs_1	G_KCs_2	G_KCs_3	G_KCs_4	G_KCs_5	G_KCs_6	G_KCs_7	G_KCs_8	G_KCs_9	G_KCs_10	G_KCs_11	G_KCs_12	V3_1	V3_2	V3_3	V3_4	V3_5	V3_6	V3_7	V3_8	V3_9	V3_10	R27_1	R27_2	R27_3	R27_4	R27_5	R27_6	R27_7	R27_8	G386_1	G386_2	G386_3	G386_4	G386_5	G386_6	G386_7	G386_8	G386_9	G386_10
14-3-3zeta	26376	26104	32690	112973	37716	31467	36564	39539	42445	30316	85774	62409	109773	55395	63489	62696	106961	81513	91150	67143	70380	133965	94705	157081	131569	102049	100661	98751	79113	120409	178663	191883	123359	162949	188197	78640	198914	185220	186096	169471	153591	229805	21933	39342	36319	30691	43635	37046	20032	51820	20650	26823	18717	18155	27279	32676	17294	32980	11550	25581	14006	19955	35952	28793	18268	36185	11075	42853	17591	6861
2mit	715	2379	1094	9603	2727	2606	2966	2053	2571	1873	5917	3970	8073	6960	3775	4470	6589	13043	3940	6624	7122	14662	10203	18203	17470	35502	16353	9698	7440	10804	12405	14762	14266	11434	17461	4880	14741	15827	12633	14396	9051	17272	3646	6504	4817	91	3504	4111	3527	3281	1291	3310	3261	3833	1912	3868	2344	4350	1065	4695	1277	1325	1536	3578	2590	1373	830	4882	4421	521
5-HT1A	128	30	619	2286	74	688	588	463	339	364	1719	1102	1157	1350	323	1715	2184	2022	726	1554	1597	4287	2104	3416	3240	4101	2833	3421	1605	2960	2553	2410	2272	2432	4221	1318	2731	3702	2509	2986	2157	4279	180	874	290	110	1103	811	1361	116	808	750	3381	1627	2526	3015	1485	6255	264	2311	1451	817	2783	3408	6200	2158	269	3994	3435	64
Abl	192	654	244	844	122	140	163	545	257	504	211	527	1485	1141	383	963	1470	1410	899	953	567	1687	575	959	782	1461	1163	847	747	451	1483	1979	2479	1141	1443	371	1883	3008	1840	1633	1132	1361	106	1086	343	36	572	364	225	416	157	375	418	185	28	648	6	6	5	170	1	11	274	878	327	2	0	372	44	3
Adf1	1338	291	133	1255	615	798	860	1236	1450	935	1052	1102	1640	1374	915	2422	1569	1474	1123	1010	356	830	709	2375	1216	1292	897	1072	364	741	923	2986	2472	1721	1788	604	1974	1731	2021	2401	1247	2821	321	529	496	836	512	921	797	639	433	572	371	325	4	280	128	0	944	386	0	18	5	459	136	757	342	2	1	436
AdoR	0	0	0	0	0	0	0	0	27	0	40	0	0	31	0	0	0	24	21	3	11	2	4	4	1	0	0	0	4	0	0	50	6	9	13	0	4	32	9	21	18	9	4	57	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	107	0	0	0	0
AGO1	3493	7629	5277	19276	5440	5085	6771	6614	4772	4658	11666	9196	16492	9762	11624	10038	13099	11208	10806	9546	10613	18875	16813	23154	19412	14271	15255	16379	9861	17109	21187	21788	17902	19935	27877	9955	18912	29735	20929	23337	17249	23559	5942	10299	5238	3185	6459	6192	4807	8733	2949	4546	5530	2773	3685	4890	2096	4203	2932	2233	1987	1682	4265	2767	1698	2392	2335	3041	2665	1351
Alk	4311	9466	9807	18254	5708	5049	5616	6177	9419	3716	19381	11587	19557	13428	10507	12900	7181	8945	12020	9694	6564	12223	11326	15831	13232	9662	11104	10879	5882	11407	16921	14697	14427	15771	19523	9026	14222	22032	16466	19569	12890	16220	6627	12608	9335	6198	6483	9932	5092	9833	6176	8366	4088	1953	4589	6253	3562	6124	1552	4897	1613	2550	10178	2451	5844	5148	1169	11695	3732	43
amn	122	0	122	74	44	228	0	0	161	0	98	137	73	83	95	54	181	367	291	122	97	163	50	133	85	117	164	129	4	100	144	235	602	82	292	71	196	327	337	225	129	104	64	76	1	0	243	96	1	49	0	0	146	149	2	113	0	0	0	182	0	157	0	228	1	0	1	146	316	104
Ank2	7086	5541	5966	15920	8530	5130	7162	5818	8627	8777	16228	10095	18735	13475	11493	10228	10443	12835	10457	10319	6912	14003	8843	20931	14108	11114	13018	13190	9573	12468	17015	24073	17895	15784	17773	7587	14585	30657	17680	18912	14086	20744	4829	8845	5640	5386	15673	14029	6014	9675	7846	7844	6619	3091	5617	6334	2865	5429	1654	4121	3284	4643	9404	11922	10497	6187	1846	19155	4556	4412
