#SUBMITTED ID	FBID_KEY	NAME	SYMBOL
FBgn0000017	FBgn0000017	Abl tyrosine kinase	Abl
FBgn0000108	FBgn0000108	beta amyloid protein precursor-like	Appl
FBgn0000117	FBgn0000117	armadillo	arm
FBgn0000119	FBgn0000119	arrow	arr
FBgn0000229	FBgn0000229	basket	bsk
FBgn0000248	FBgn0000248	cabbage	cab
FBgn0000273	FBgn0000273	Protein kinase, cAMP-dependent, catalytic subunit 1	Pka-C1
FBgn0000422	FBgn0000422	Dopa decarboxylase	Ddc
FBgn0000479	FBgn0000479	dunce	dnc
FBgn0000535	FBgn0000535	ether a go-go	eag
FBgn0000536	FBgn0000536	easily shocked	eas
FBgn0000546	FBgn0000546	Ecdysone receptor	EcR
FBgn0000635	FBgn0000635	Fasciclin 2	Fas2
FBgn0000721	FBgn0000721	foraging	for
FBgn0001123	FBgn0001123	G protein alpha s subunit	Galphas
FBgn0001208	FBgn0001208	Henna	Hn
FBgn0002932	FBgn0002932	neuralized	neur
FBgn0003015	FBgn0003015	oskar	osk
FBgn0003068	FBgn0003068	period	per
FBgn0003093	FBgn0003093	Protein C kinase 98E	Pkc98E
FBgn0003165	FBgn0003165	pumilio	pum
FBgn0003301	FBgn0003301	rutabaga	rut
FBgn0003371	FBgn0003371	shaggy	sgg
FBgn0003380	FBgn0003380	Shaker	Sh
FBgn0003392	FBgn0003392	shibire	shi
FBgn0003502	FBgn0003502	Btk family kinase at 29A	Btk29A
FBgn0003513	FBgn0003513	spineless	ss
FBgn0003520	FBgn0003520	staufen	stau
FBgn0003731	FBgn0003731	Epidermal growth factor receptor	Egfr
FBgn0003861	FBgn0003861	transient receptor potential	trp
FBgn0003897	FBgn0003897	turnip	tur
FBgn0003984	FBgn0003984	vein	vn
FBgn0003996	FBgn0003996	white	w
FBgn0004101	FBgn0004101	blistered	bs
FBgn0004103	FBgn0004103	Protein phosphatase 1 at 87B	Pp1-87B
FBgn0004168	FBgn0004168	5-hydroxytryptamine (serotonin) receptor 1A	5-HT1A
FBgn0004244	FBgn0004244	Resistant to dieldrin	Rdl
FBgn0004370	FBgn0004370	Protein tyrosine phosphatase 10D	Ptp10D
FBgn0004419	FBgn0004419	maternal expression at 31B	me31B
FBgn0004516	FBgn0004516	Glutamic acid decarboxylase 1	Gad1
FBgn0004575	FBgn0004575	Synapsin	Syn
FBgn0004638	FBgn0004638	downstream of receptor kinase	drk
FBgn0004647	FBgn0004647	Notch	N
FBgn0004648	FBgn0004648	silver	svr
FBgn0004662	FBgn0004662	mushroom body deranged	mbd
